duppl,AphiaID,Taxon,PhytoplanktonType
FALSE,105601,Pleurasiga reynoldsii,
FALSE,106033,Sessilia,
FALSE,106087,Lepas nauplii,
FALSE,106122,Balanus,
FALSE,106264,Podonidae,
FALSE,106265,Bosmina,
FALSE,106267,Evadne,
FALSE,106269,Podon,
FALSE,106271,Bosmina coregoni,
FALSE,106272,Penilia avirostris,
FALSE,106273,Evadne nordmanni,
FALSE,106274,Evadne spinifera,
FALSE,106276,Podon intermedius,
FALSE,106277,Podon leuckartii,
FALSE,106278,Pseudevadne tergestina,
FALSE,106281,Chroomonas,Cryptophyte
FALSE,106282,Cryptomonas,Cryptophyte
FALSE,106283,Plagioselmis,Cryptophyte
FALSE,106285,Teleaulax,Cryptophyte
FALSE,106287,Hemiselmis,Cryptophyte
FALSE,106289,Rhodomonas,Cryptophyte
FALSE,106295,Chroomonas vectensis,Cryptophyte
FALSE,106297,Cryptomonas baltica,Cryptophyte
FALSE,106303,Plagioselmis prolonga,Cryptophyte
FALSE,106305,Teleaulax acuta,Cryptophyte
FALSE,106306,Teleaulax amphioxeia,Cryptophyte
FALSE,106310,Hemiselmis virescens,Cryptophyte
FALSE,106313,Rhodomonas baltica,Cryptophyte
FALSE,106314,Rhodomonas marina,Cryptophyte
FALSE,106316,Rhodomonas salina,Cryptophyte
FALSE,106331,Beroe,
FALSE,106346,Pleurobrachia,
FALSE,106358,Beroe cucumis,
FALSE,106361,Beroe gracilis,
FALSE,106362,Beroe ovata,
FALSE,106386,Pleurobrachia pileus,
FALSE,106393,Bolinopsis infundibulum,
FALSE,106401,Mnemiopsis leidyi,
FALSE,106422,Oithonidae C1-6,
FALSE,106437,Cyclopina,
FALSE,106485,Oithona,
FALSE,106528,Cyclopina longicornis,
FALSE,106642,Oithona atlantica,
FALSE,106651,Oithona nana,
FALSE,106652,Oithona plumifera,
FALSE,106656,Oithona similis,
FALSE,106669,Dendrobranchiata,
FALSE,106670,Pleocyemata,
FALSE,106671,Anomura,
FALSE,106673,Brachyura,
FALSE,106674,Caridea,
FALSE,106731,Sergestidae,
FALSE,106733,Galatheidae,
FALSE,106734,Porcellanidae,
FALSE,106738,Paguridae,
FALSE,106776,Alpeidae,
FALSE,106798,Axiidae,
FALSE,106800,Callianassidae,
FALSE,106827,Lucifer,
FALSE,106834,Galathea,
FALSE,106838,Porcellana,
FALSE,106854,Pagurus,
FALSE,106889,Ebalia,
FALSE,106903,Hyas,
FALSE,106925,Liocarcinus,
FALSE,106927,Necora,
FALSE,106976,Pinnotheres,
FALSE,106986,Eualus,
FALSE,107007,Crangon,
FALSE,107010,Philocheras,
FALSE,107054,Processa,
FALSE,107072,Callianassa,
FALSE,107079,Upogebia,
FALSE,107188,Pisidia longicornis,
