AphiaID,Taxon,ZooHabitat
109819,Gymnodinium ostenfeldii,
109825,Gymnodinium pygmaeum,
109826,Gymnodinium rhomboides,
109831,Gymnodinium simplex,
109835,Gymnodinium variabile,
109837,Gymnodinium vestificii,
109843,Gyrodinium britannicum,
109844,Gyrodinium calyptoglyphe,
109851,Gyrodinium dominans,
109852,Gyrodinium estuariale,
109854,Gyrodinium flagellare,
109856,Gyrodinium fusiforme,
109859,Gyrodinium lachryma,
109870,Gyrodinium pellucidum,
109871,Gyrodinium pepo,
109876,Gyrodinium spirale,
109878,Gyrodinium undulans,
109882,Katodinium asymmetricum,
109885,Katodinium glaucum,
109887,Katodinium rotundatum,
109888,Ptychodiscus noctiluca,
109889,Torodinium robustum,
109890,Torodinium teredo,
109894,Herdmania litoralis,
109896,Pheopolykrikos beauchampii,
109898,Polykrikos hartmannii,
109899,Polykrikos kofoidii,
109901,Polykrikos schwartzii,
109902,Oxyrrhis marina,
109903,Pronoctiluca pelagica,
109904,Pronoctiluca spinifera,
109907,Nematodinium armatum,
109914,Leptodiscus medusoides,
109918,Kofoidinium pavillardii,
109920,Kofoidinium velleloides,
109921,Noctiluca scintillans,
109923,Spatulodinium pseudonoctiluca,
109925,Pentapharsodinium dalei,
109927,Preperidinium meunierii,
109928,Preperidinium pseudooblea,
109929,Ceratium arietinum,
109930,Ceratium azoricum,
109931,Ceratium belone,
109932,Ceratium breve,
109934,Ceratium buceros,
109935,Ceratium candelabrum,
109936,Ceratium carriense,
109939,Ceratium compressum,
109940,Ceratium concilians,
109941,Ceratium contortum,
109943,Ceratium declinatum,
109947,Ceratium extensum,
109948,Ceratium falcatiforme,
109949,Ceratium falcatum,
109950,Ceratium furca,
109951,Ceratium fusus,
109952,Ceratium geniculatum,
109953,Ceratium gibberum,
109955,Ceratium hexacanthum,
109956,Ceratium horridum,
109958,Ceratium inflatum,
109960,Ceratium karstenii,
109961,Ceratium kofoidii,
109962,Ceratium limulus,
109963,Ceratium lineatum,
109964,Ceratium longipes,
109965,Ceratium longirostrum,
109967,Ceratium macroceros,
109968,Ceratium massiliense,
109969,Ceratium minutum,
109971,Ceratium pavillardii,
109972,Ceratium pentagonum,
109974,Ceratium pulchellum,
109975,Ceratium ranipes,
109977,Ceratium setaceum,
109979,Ceratium symmetricum,
109980,Ceratium teres,
109981,Ceratium trichoceros,
109982,Ceratium tripos,
109983,Ceratium vultur,
109992,Micracanthodinium claytonii,
109993,Micracanthodinium setiferum,
109998,Crypthecodinium cohnii,
110001,Diplopsalis lenticula,
110005,Amphidoma caudata,
110007,Amylax triacantha,
110009,Gonyaulax alaskenses,
110014,Gonyaulax diegensis,
110015,Gonyaulax digitale,
110023,Gonyaulax grindleyi,
110035,Gonyaulax polygramma,
110038,Gonyaulax rugosum,
110039,Gonyaulax scrippsae,
110041,Gonyaulax spinifera,
110043,Gonyaulax turbynei,
110045,Gonyaulax verior,
110048,Spiraulax kofoidii,
110067,Boreadinium pisiforme,
110069,Adenoides eludens,
110073,Corythrodinium diploconus,
110077,Corythodinium tesselatum,
110079,Oxytoxum adriaticum,
110082,Oxytoxum caudatum,
110085,Oxytoxum constrictum,
110087,Oxytoxum crassum,
110090,Oxytoxum curvatum,
110094,Oxytoxum elegans,
110097,Oxytoxum laticeps,
110100,Oxytoxum longum,
110102,Oxytoxum mediterraneum,
110103,Oxytoxum milneri,
110115,Oxytoxum scolopax,
110116,Oxytoxum sphaeroideum,
110122,Oxytoxum viride,
110127,Sabulodinium undulatum,
110130,Coolia monotis,
110131,Diplopelta asymmetrica,
110138,Diplopsalopsis latipeltata,
110139,Diplopsalopsis orbicularis,
110146,Glenodinium danicum,
110152,Heterocapsa rotundata,
110153,Heterocapsa triquetra,
110154,Kryptoperidinium foliaceum,
110155,Oblea rotunda,
110156,Peridiniella catenata,
110168,Scrippsiella lachrymosa,
110172,Scrippsiella trochoidea,
110178,Blepharocysta paulsenii,
110183,Peridinium cinctum,
110185,Peridinium gargantua,
110198,Peridinium willei,
110199,Podolampas bipes,
110201,Podolampas elegans,
110202,Podolampas spinifera,
110204,Lebouraia minuta,
110205,Protoperidinium achromaticum,
110206,Protoperidinium avellana,
110208,Protoperidinium bipes,
110209,Protoperidinium breve,
110210,Protoperidinium brevipes,
110212,Protoperidinium conicoides,
110213,Protoperidinium conicum,
110214,Protoperidinium crassipes,
110215,Protoperidinium curtipes,
110216,Protoperidinium denticulatum,
110217,Protoperidinium depressum,
110218,Protoperidinium diabolus,
110219,Protoperidinium divergens,
110220,Protoperidinium excentricum,
110223,Protoperidinium granii,
110228,Protoperidinium laticeps,
110229,Protoperidinium leonis,
110231,Protoperidinium mariaelebouriae,
110233,Protoperidinium minutum,
110234,Protoperidinium mite,
110237,Protoperidinium nudum,
110238,Protoperidinium oblongum,
110239,Protoperidinium obtusum,
110240,Protoperidinium oceanicum,
110241,Protoperidinium ovatum,
110244,Protoperidinium pallidum,
110245,Protoperidinium pellucidum,
110247,Protoperidinium pentagonum,
110248,Protoperidinium punctulatum,
110249,Protoperidinium pyriforme,
110250,Protoperidinium quarense,
110251,Protoperidinium saltans,
110257,Protoperidinium steinii,
